ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
-0.37,2.21,9.38,0.007636,0.014181,-0.004363,21.5,-27.25,2.5,0,2024-11-14,11:02:48.459139
-0.33,2.19,9.4,0.0,-0.018544,0.003272,23.0,-26.875,2.5,0,2024-11-14,11:02:48.664089
-0.33,2.16,9.43,0.001091,-0.019635,0.004363,21.5,-27.25,1.75,0,2024-11-14,11:02:48.866973
-0.31,2.19,9.43,0.0,-0.008727,0.0,21.875,-25.75,1.75,0,2024-11-14,11:02:49.066373
-0.26,2.19,9.38,-0.001091,0.023998,-0.003272,21.875,-26.875,1.25,0,2024-11-14,11:02:49.252266
-0.39,2.22,9.41,0.020726,0.076358,-0.021817,21.875,-25.75,2.0625,0,2024-11-14,11:02:49.436161
-0.42,2.16,9.38,-0.001091,0.020726,-0.002182,21.5,-27.25,1.0,0,2024-11-14,11:02:49.637254
-0.47,2.24,9.44,0.006545,0.014181,-0.008727,22.25,-26.875,2.0625,0,2024-11-14,11:02:49.889457
-0.5,2.2,9.42,0.011999,0.051269,-0.015272,21.875,-26.1875,3.0,0,2024-11-14,11:02:50.045724
-0.7,2.19,9.36,-0.008727,-0.005454,-0.003272,21.5,-26.5625,3.25,0,2024-11-14,11:02:50.278171
-0.76,2.27,9.37,-0.001091,-0.01309,0.002182,22.25,-26.1875,2.0625,0,2024-11-14,11:02:50.544602
-0.64,2.27,9.43,0.007636,0.017453,-0.007636,22.25,-26.875,1.75,0,2024-11-14,11:02:50.763624
-0.62,2.27,9.48,-0.006545,0.007636,0.0,21.1875,-26.5625,2.875,0,2024-11-14,11:02:50.996492
-0.73,2.32,9.44,-0.019635,-0.069813,0.023998,21.5,-26.1875,2.5,0,2024-11-14,11:02:51.182854
-0.64,2.21,9.38,-0.008727,-0.041452,0.011999,21.1875,-25.5,2.5,0,2024-11-14,11:02:51.369946
-0.34,2.26,9.55,-0.010908,-0.049087,0.016362,21.5,-26.875,3.0,0,2024-11-14,11:02:51.626184
-0.41,2.22,9.44,-0.002182,-0.057814,0.017453,22.25,-26.1875,1.75,0,2024-11-14,11:02:51.720136
-0.35,2.22,9.38,-0.006545,-0.054542,0.014181,21.875,-26.5625,1.75,0,2024-11-14,11:02:51.832070
-0.3,2.19,9.38,-0.009817,-0.081812,0.022907,21.875,-26.875,2.0625,0,2024-11-14,11:02:52.034904
-0.27,2.23,9.44,0.003272,0.021817,-0.002182,21.875,-26.5625,1.75,0,2024-11-14,11:02:52.217884
-0.31,2.24,9.42,0.009817,0.070904,-0.016362,21.5,-26.1875,2.5,0,2024-11-14,11:02:52.452750
-0.39,2.23,9.44,0.001091,-0.007636,-0.001091,22.5625,-26.5625,1.75,0,2024-11-14,11:02:52.654043
